key;fr;en
event_32_choix1;Signaler le bug au gérant.;Report the bug to the manager.
event_32_choix2;Inviter Voxel à l'examiner.;Invite Voxel to examine it.
event_33_titre;Le Pont qui Parle;The Talking Bridge
event_33_desc;Au Pont des Ombres, des haut‑parleurs diffusent un code sonore à minuit. La foule s’arrête, intriguée.;At the Pont des Ombres, loudspeakers broadcast an audio code at midnight. The crowd stops, intrigued.
event_33_choix1;Diffuser le code au public.;Broadcast the code to the public.
event_33_choix2;Couper la sonorisation du pont.;Cut the bridge sound system.
event_34_titre;Fraise Cipher;Strawberry Cipher
event_34_desc;Aux Serres Lysiane, des fraises bleu‑électrique tracent un motif bioluminescent. On dirait un message.;At the Lysiane Greenhouses, electric-blue strawberries trace a bioluminescent pattern. It looks like a message.
event_34_choix1;Scanner les plants en public.;Scan the plants in public.
event_34_choix2;Couper l'éclairage expérimental.;Cut the experimental lighting.
event_35_titre;Échos Inhabités;Uninhabited Echoes
event_35_desc;À l’Usine Écho, un battement à 0,8 Hz fait vibrer la nef. Les visiteurs paniquent, les capteurs saturent.;At Usine Echo, a 0.8 Hz beat makes the nave vibrate. Visitors panic, sensors saturate.
event_35_choix1;Caler les micros et enregistrer.;Set up the microphones and record.
event_35_choix2;Évacuer l’Usine immédiatement.;Evacuate Usine Echo immediately.
event_36_titre;Aurore Stroboscopique;Strobing Aurora
event_36_desc;À la Galerie Nébuleuse, un filtre AR provoque des crises photosensibles. Le ciel partagé clignote trop vite.;At Galerie Nebuleuse, an AR filter triggers photosensitive episodes. The shared sky flashes too fast.
event_36_choix1;Suspendre le filtre ce soir.;Suspend the filter tonight.
event_36_choix2;Laisser faire, publier un avertissement.;Let it run, publish a warning.
event_37_titre;Vote Miroir;Mirror Vote
event_37_desc;À la Tour Opaline, des écrans miroirs affichent deux résultats différents. Le public gronde.;At Tour Opaline, mirror screens show two different results. The public growls.
event_37_choix1;Exiger un recomptage public.;Demand a public recount.
event_37_choix2;Ignorer, noter en privé.;Ignore it, note it privately.
event_38_titre;Glace Mémoire;Memory Ice Cream
event_38_desc;Au Square Valmont, Tito Mansi sert un parfum rare qui déclenche des réminiscences. Les Bancaires s’émeuvent.;At Square Valmont, Tito Mansi serves a rare flavor that triggers reminiscences. The Bankers grow emotional.
event_38_choix1;Goûter et archiver la recette.;Taste it and archive the recipe.
event_38_choix2;Refuser, préserver la confidentialité.;Refuse, preserve confidentiality.
event_39_titre;Rumeur Contée;Told Rumor
event_39_desc;Au Café des Courants, des coordonnées d’épave circulent contre un ristretto. Des plongeurs s’équipent déjà.;At Cafe des Courants, wreck coordinates circulate for a ristretto. Divers are already gearing up.
event_39_choix1;Organiser une expédition.;Organize an expedition.
event_39_choix2;Informer les autorités fluviales.;Inform the river authorities.
event_40_titre;Sortie Déplacée;Shifted Exit
event_40_desc;Au Labyrinthe Quartz, la sortie change sans prévenir. Des visiteurs tournent en rond parmi les colonnes.;At the Quartz Labyrinth, the exit changes without warning. Visitors wander in circles among the columns.
event_40_choix1;Guidage sonore improvisé.;Improvise audio guidance.
event_40_choix2;Fermer l'accès jusqu'au matin.;Close access until morning.
event_41_titre;Capsules Ouvertes;Opened Capsules
event_41_desc;Au Mirador Δ, un orage ouvre des capsules‑USB scellées. Secrets intimes et publics ruissellent sur l’esplanade.;At Mirador Delta, a storm opens sealed USB capsules. Private and public secrets stream across the esplanade.
event_41_choix1;Sauver et chiffrer les données.;Save and encrypt the data.
event_41_choix2;Remettre tout à la mairie.;Hand everything over to city hall.
event_42_titre;Lucioles en Morse;Fireflies in Morse
event_42_desc;À Station Lumen‑Nord, les lucioles OGM clignotent « Free the Rails ». Les passants filment, ravis.;"At Station Lumen-Nord, GMO fireflies blink ""Free the Rails"". Passersby film, delighted."
event_42_choix1;Relayer sur écrans publics.;Relay it on public screens.
event_42_choix2;Réinitialiser la station.;Reset the station.
event_43_titre;Bourse Gelée;Frozen Budget
event_43_desc;Au Parc des Archives, le vote budgétaire gèle : 12 000 comptes fantômes détectés. La foule réclame des explications.;At Parc des Archives, the budget vote freezes: 12,000 ghost accounts detected. The crowd demands explanations.
event_43_choix1;Enquêter en public.;Investigate in public.
event_43_choix2;Négocier en coulisses.;Negotiate behind the scenes.
event_44_titre;Vinyle Fantôme;Phantom Vinyl
event_44_desc;À la Crypte d’Argon, un signal analogique s’invite entre deux pistes. Un message chuchoté traverse le casque.;At the Argon Crypt, an analog signal slips between two tracks. A whispered message crosses the headphones.
event_44_choix1;Amplifier le signal sur vinyle.;Amplify the signal on vinyl.
event_44_choix2;Couper la prise antenne.;Cut the antenna input.
event_45_titre;Sas Niveau -5;Level -5 Airlock
event_45_desc;Dans Subterranea, un sas se referme tout seul. Des voix métalliques résonnent derrière la porte.;In Subterranea, an airlock closes by itself. Metallic voices echo behind the door.
event_45_choix1;Forcer l'ouverture du sas.;Force the airlock open.
event_45_choix2;Sceller et poser des capteurs.;Seal it and place sensors.
event_46_titre;#ChuteSucrée;#SugarCrash
event_46_desc;Un drone Azur Néo chavire près de Valmont, renversant 23 glaces. Le hashtag explose en tête de tendance.;An Azur Neo drone capsizes near Valmont, spilling 23 ice creams. The hashtag explodes to the top of the trends.
event_46_choix1;Publier le crash‑log.;Publish the crash log.
event_46_choix2;Étouffer l'incident.;Smother the incident.
event_47_titre;Pari Gelé;Frozen Bet
event_47_desc;Les Bancaires stoppent les mises : soupçon de fraude AR sur la finale e‑sport. La place se fige.;The Bankers stop all bets: suspected AR fraud on the e-sports final. The square freezes.
event_47_choix1;Auditer les paris en live.;Audit the bets live.
event_47_choix2;Rembourser et fermer la soirée.;Refund everyone and shut down the night.
event_48_titre;Rails contre Azur;Rails Against Azur
event_48_desc;Les Gardiens bloquent pacifiquement un dépôt Azur. La ville retient son souffle.;The Guardians peacefully block an Azur depot. The city holds its breath.
event_48_choix1;Rejoindre le blocage pacifique.;Join the peaceful blockade.
event_48_choix2;Servir d'intermédiaire discret.;Act as a discreet intermediary.
event_49_titre;Battement Sous Valmont;Beat Beneath Valmont
event_49_desc;Un grondement sourd traverse le Square. Les nénuphars vibrent à l’unisson de la mare.;A dull rumble crosses the Square. The water lilies vibrate in unison with the pond.
event_49_choix1;Descendre avec capteurs.;Go down with sensors.
event_49_choix2;Tracer la source depuis la surface.;Trace the source from the surface.
event_50_titre;Fin de Transmission;End of Transmission
event_50_desc;Un signal faible revient de la Tour Opaline. Quelques mots : « encore là ». La foule se tait.;"A weak signal returns from Tour Opaline. A few words: ""still here"". The crowd falls silent."
event_50_choix1;Retransmettre sans filtrer.;Retransmit without filtering.
event_50_choix2;Filtrer et analyser d'abord.;Filter and analyze first.
event_51_titre;La Glace Qui Chante;The Singing Ice Cream
event_51_desc;Au Square Valmont, une boule « Opéra Pistache » se met à chanter. Le juke‑box aromatique fait des trilles de fromage.;"At Square Valmont, a scoop of ""Pistachio Opera"" starts singing. The aromatic jukebox trills with cheese."
event_51_choix1;Chanter faux avec la glace.;Sing off-key with the ice cream.
event_51_choix2;Mettre la boule en sourdine.;Mute the scoop.
event_52_titre;Drone Barista Poète;Poet Barista Drone
event_52_desc;Un drone Azur Néo livre des cafés en déclamant des haïkus. Le lait dessine « Free the Rails ». Accident ou art ?;"An Azur Neo drone delivers coffees while reciting haikus. The milk draws ""Free the Rails"". Accident or art?"
event_52_choix1;Applaudir le haïku latté.;Applaud the latte haiku.
event_52_choix2;Demander juste le café.;Just ask for the coffee.
event_53_titre;Selfie Oreilles de Chat;Cat-Ear Selfie
event_53_desc;Au Pont des Ombres, un filtre AR colle des oreilles de chat à tout le monde, même aux statues commémoratives.;At the Pont des Ombres, an AR filter sticks cat ears on everyone, even the memorial statues.
event_53_choix1;Assumer les oreilles, miaou.;Own the ears, meow.
event_53_choix2;Désactiver le filtre chat.;Disable the cat filter.
event_54_titre;Lucioles en Grève;Fireflies on Strike
event_54_desc;À Station Lumen‑Nord, les lucioles OGM clignotent « pause s’il vous plaît ». Les retards deviennent poésie lumineuse.;"At Station Lumen-Nord, the GMO fireflies blink ""break please"". Delays become luminous poetry."
event_54_choix1;Accorder une pause luciole.;Grant the fireflies a break.
event_54_choix2;Appeler un “luciolier” pro.;Call a pro firefly keeper.
event_55_titre;Écho Infini;Infinite Echo
event_55_desc;À l’Usine Écho, un applaudissement tourne en boucle depuis 12 minutes. L’écho vous applaudit aussi.;At Usine Echo, applause has been looping for 12 minutes. The echo applauds you too.
event_55_choix1;Applaudir pour de vrai.;Applaud for real.
event_55_choix2;Couper la réverb’ 12 s.;Cut the reverb for 12 s.
event_56_titre;Basilic Beatbox;Beatbox Basil
event_56_desc;Aux Serres Lysiane, un basilic beatbox lance un freestyle sur la photosynthèse. Les tomates font la choré.;At the Lysiane Greenhouses, a basil plant beatboxes a freestyle about photosynthesis. The tomatoes do the choreography.
event_56_choix1;Freestyler avec le basilic.;Freestyle with the basil.
event_56_choix2;Mettre le pot en mode muet.;Put the pot on mute.
event_57_titre;Beauté 5 Pixels;5-Pixel Beauty
event_57_desc;À la Galerie Nébuleuse, un filtre réduit tout le monde à cinq pixels très glam. Selfies méconnaissables, ego ravis.;At Galerie Nebuleuse, a filter reduces everyone to five very glam pixels. Unrecognizable selfies, delighted egos.
event_57_choix1;Garder le glow 5 px.;Keep the 5 px glow.
event_57_choix2;Revenir en HD (snif).;Return to HD (sob).
event_58_titre;Capsules Cœur Débordé;Overflowing Heart Capsules
event_58_desc;Au Mirador Δ, l’orage ouvre des capsules‑USB : des vieux crush avoués pleuvent sur l’esplanade.;At Mirador Delta, the storm opens USB capsules: old confessed crushes rain down on the esplanade.
event_58_choix1;Ranger ces secrets au coffre.;Lock these secrets away.
event_58_choix2;Lire… juste un petit.;Read... just a little one.
event_59_titre;Aux Câbles, Citoyens !;To the Cables, Citizens!
event_59_desc;À la Crypte d’Argon, quelqu’un sort un câble AUX doré. L’analogique frémit, le Bluetooth jalouse.;At the Argon Crypt, someone pulls out a golden AUX cable. Analog shivers, Bluetooth gets jealous.
event_59_choix1;Lancer la cassette culte.;Play the cult cassette.
event_59_choix2;Confisquer le câble blasphème.;Confiscate the blasphemous cable.
event_60_titre;Romance Aléatoire;Random Romance
event_60_desc;Au Labyrinthe Quartz, l’officiant du mariage est une voix randomisée. « Acceptez‑vous… euh… *Buffering* ».;"At the Quartz Labyrinth, the wedding officiant is a randomized voice. ""Do you take... uh... *Buffering*""."
event_60_choix1;Dire oui au hasard.;Say yes to chance.
event_60_choix2;Attendre le patch romance.;Wait for the romance patch.
event_61_titre;Kazoo d’Alerte;Alert Kazoo
event_61_desc;Au Bunker Sigma, l’alarme joue du kazoo. Panique… puis fou rire général. L’eau de la simulation monte quand même.;At Bunker Sigma, the alarm plays kazoo. Panic... then general laughter. The simulation water still rises.
event_61_choix1;Rester pour le show.;Stay for the show.
event_61_choix2;Activer le mode sérieux.;Activate serious mode.
event_62_titre;Sitcom des Archives;Archives Sitcom
event_62_desc;Au Parc des Archives, l’IA colle un rire en boîte à l’Histoire. Chaque révolution reçoit un « tadaaa ».;"At Parc des Archives, the AI adds canned laughter to History. Every revolution gets a ""ta-daa""."
event_62_choix1;Laisser le rire en fond.;Leave the laughter in the background.
event_62_choix2;Couper la piste comique.;Cut the comedy track.
event_63_titre;Sticker « Nettoyé »;"""Cleaned"" Sticker"
event_63_desc;Le Collectif Voxel vend des stickers « Données Nettoyées ». Très brillants. Effet sur la réalité : incertain.;"Collectif Voxel sells ""Data Cleaned"" stickers. Very shiny. Effect on reality: uncertain."
event_63_choix1;Acheter dix stickers.;Buy ten stickers.
event_63_choix2;Exiger un vrai audit.;Demand a real audit.
event_64_titre;Zéro Bluetooth Fest;Zero Bluetooth Fest
event_64_desc;Les Gardiens du Rails lancent un festival “tout filaire”. Des rallonges courent partout. Le rétro est à la mode.;"The Guardians of the Rails launch an ""all-wired"" festival. Extension cords run everywhere. Retro is in fashion."
event_64_choix1;Enrouler un câble géant.;Coil a giant cable.
event_64_choix2;Pretendre être une antenne.;Pretend to be an antenna.
event_65_titre;Sieste Aérienne;Aerial Nap
event_65_desc;Azur Néo active un mode « sieste ». Des drones murmurent des berceuses au dessus du Square Valmont. Dodo public ?;"Azur Neo activates ""nap"" mode. Drones whisper lullabies above Square Valmont. Public sleep time?"
event_65_choix1;Autoriser la sieste urbaine.;Allow the urban nap.
event_65_choix2;Réveiller tout le monde.;Wake everyone up.
event_66_titre;Lorem Ipsum Géant;Giant Lorem Ipsum
event_66_desc;À la Tour Opaline, “Nuit sans pubs” affiche un immense LOREM IPSUM. Les touristes font des selfies typographiques.;"At Tour Opaline, ""Ad-Free Night"" displays a huge LOREM IPSUM. Tourists take typographic selfies."
event_66_choix1;Applaudir l’art conceptuel.;Applaud the conceptual art.
event_66_choix2;Corriger le lorem vite.;Fix the lorem quickly.
event_67_titre;Potins Contre Espresso;Gossip for Espresso
event_67_desc;Au Café des Courants, pénurie de rumeurs. “Potin maison contre ristretto ?” demande le barista holographique.;"At Cafe des Courants, rumors are in short supply. ""House gossip for a ristretto?"" asks the holographic barista."
event_67_choix1;Inventer un potin gentil.;Invent a kind rumor.
event_67_choix2;Payer en vrai argent (beurk).;Pay with real money (ugh).
event_68_titre;Mode Bébé Arcade;Arcade Baby Mode
event_68_desc;Au Pixel‑Palace, toutes les bornes passent en « Baby Mode ». Tout le monde gagne. Les trophées sont des tétines.;"At the Pixel-Palace, every cabinet switches to ""Baby Mode"". Everyone wins. The trophies are pacifiers."
event_68_choix1;Prendre la coupe baby.;Take the baby cup.
event_68_choix2;Remettre la difficulté.;Restore the difficulty.
event_69_titre;Karaoké du Pont;Bridge Karaoke
event_69_desc;Au Pont des Ombres, les graffitis AR défilent en paroles de karaoké. La foule fausse à l’unisson.;At the Pont des Ombres, AR graffiti scrolls as karaoke lyrics. The crowd sings off-key in unison.
event_69_choix1;Chanter très fort.;Sing very loudly.
event_69_choix2;Activer le mode silence.;Activate silence mode.
event_70_titre;Guide Robot Blagueur;Joking Robot Guide
event_70_desc;Dans Subterranea, un robot guide ne connaît que des blagues de papa. “Ha ha… sas‑fé drÔle.”;"In Subterranea, a guide robot only knows dad jokes. ""Ha ha... airlock of fun."""
event_70_choix1;Rire poliment, toujours.;Laugh politely, every time.
event_70_choix2;Mettre à jour l’humour.;Update the humor.
event_71_titre;Dernier Écho à Valmont;Last Echo at Valmont
event_71_desc;Au Square Valmont, le battement 0,8 Hz fait vibrer la mare. Une passerelle cède, un enfant reste coincé au bord.;At Square Valmont, the 0.8 Hz beat makes the pond vibrate. A footbridge gives way, trapping a child at the edge.
event_71_choix1;Secourir l’enfant immédiatement.;Rescue the child immediately.
event_71_choix2;Déclencher l’alerte générale.;Trigger the general alarm.
event_72_titre;Vote Brisé;Broken Vote
event_72_desc;À la Tour Opaline, deux résultats opposés s’affichent au même référendum. La foule gronde, les écrans tremblent.;At Tour Opaline, two opposite results appear for the same referendum. The crowd growls, the screens shake.
event_72_choix1;Publier les journaux d’audit.;Publish the audit logs.
event_72_choix2;Geler le vote et fermer l’accès.;Freeze the vote and close access.
event_73_titre;Chant des Machines;Song of the Machines
event_73_desc;"À l’Usine Écho, un mode résonant menace la structure. Les arches vibrent ; des poussières tombent du toit.";"At Usine Echo, a resonant mode threatens the structure. The arches vibrate; dust falls from the roof."
event_73_choix1;Couper l’alimentation d’urgence.;Cut the emergency power.
event_73_choix2;Enregistrer pour comprendre.;Record it to understand.
event_74_titre;Sous le Verre;Under the Glass
event_74_desc;Sur le Pont des Ombres, des fissures s’étendent. La foule filme, le tablier craque.;On the Pont des Ombres, cracks spread. The crowd films, the deck groans.
event_74_choix1;Évacuer en criant « reculez ! ».;"Evacuate while shouting ""back away!""."
event_74_choix2;Tenter de soutenir la travée.;Try to support the span.
event_75_titre;Capsules des Adieux;Farewell Capsules
event_75_desc;Au Mirador Δ, l’orage ouvre des capsules‑USB : des messages d’au revoir déferlent en public.;At Mirador Delta, the storm opens USB capsules: goodbye messages flood into public view.
